Startup,Objetivos,Preguntas JD,Unnamed: 3,Observaciones Jd / Actualizaciones,Tareas Brenda Milagros Sota Huarcaya,Unit economics| sheet,Ronda,Valuation,Descripcion,Escalabilidad,Puntaje_escalabilidad,Equipo,Puntaje_equipo,Producto,Puntaje_producto,Exit,Puntaje_exit
OpenMed,"12-18 meses: +1 M en ventas - 6500 usuarios
Neurologia, Endocrinologia, Oncologia, Parkinson, Cardiología y Reumatología
CAC: 3-6$
40+ usuarios
AOV (ave.order value): 77
Rev: 378$

cap table: 90% entre founders + 10% stock options (3 workers + advisors)","¿Por que te pagan a ti? Hacen solo la logística? (farmacias no grandes es su foco y pacientes crónicos es el cliente)
¿Dónde está la ventaja competitiva? 
¿Farmacias afilidas tienes? 2 farmacias afiliadas, +15k productos en el mercado.
¿A quién le reduces costos? Pacientes.
¿Qué valor le das al paciente? Conseguir su receta todos los meses al mismo precio en su casa
¿Hace cuanto empezaron operando? 1 año -distribuidora para farmacias (b2b)-
¿Cuál es el stack tech? Landing, portal admin (core - 30%, node js, next js) y portal partner. ¿Cómo calculan el tamaño del mercado? 
Valor de mercado (62 Bn) - 10% es su comisión - Perú es 3% - enfermedades crónicas ¿cuál es el porcentaje?

¿Qué buscan con sus alianzas estrategicas?
¿Quién es responsable de captar y retener clientes/ usuarios? ¿Qué han probado? Captar doctores y darles comisiones para que tengan recomendaciones para recetas.",,"Es un rappi de medicamentos para farmacias no digitales (le cobran un fee) que vendan a pacientes crónicos. 

Reto: asegurar el stock para que el paciente venga a comprarte.
Preocupación de jd: competencia ¿qué pasa si mañana un gran judador entra al mercado, rappi med?

Hay barreras bajas de entrada. La clave está en la integración.
Recomendación Jose: Es mejor foco que cantidad, en especialización está la capacidad que no te compitan!

Sobre usuarios y economics:
Ingreso promedio es 30 prom soles por usuario. se van 6 soles por logistica.
Al doctor le pagan 15-20-25 soles (una sola vez). Provincia es un extra que paga el usuario.
5 meses de operaciones ","- Lista con clientes que nos deben pasar, elegir y hablar con 2-3, saber si aman el servicio, si han creado algo potente o no. 
- Validar background del equipo, que han hecho antes, son buenos o no.
- Validar mercado real",Unit economics| Espacio de aprendizaje,no han levantado,,,,,,,,,,
Yavendio,"Revenue mensual: Ene 220$ Feb 1400$ Mar 3645$ Abr 7000$
Conversión en funnel: Ene 25%
mercado peru: $233 MM Mexico: $700MM brasil: $1BN
Clientes: 17 pagos || 3 en producción vendiendo || 

Ronda F&F: 129,500$ a 2M de valuation
Runway: 17.5 meses
Breakeven: Octubre
Perdida: 7k-10k dolares now.
objetivo de ronda: robustecer el producto, IA más humano.

cao table ahorita: 55% david 45% sebas / yashac 5% / diego 3% / terry cruz 3,5%","¿Cómo es tu modelo de generación de ingreso? Planes x mes + Implementación
¿Cómo llenas tu funnel? Referidos y e-mail marketing
¿Qué es tu producto? Bot que aprende del negocio y te permite tomar decisiones.
Tech: Foundations se conectan a diversas APIs (se actualiza constantemente) y Propias son arquitecturas del vendedor (splitter) e implementadores (modula el aprendizaje de su bot)
¿Como le compites a un posible wsp ayudante virtual o shopify? No solo es ser un vendedor virtual sino ser un suite de ventas para cada e-commerce. 
¿Quién es tu cliente objetivo? E-commerce medianos, 50k dolares 1 millon de dólares en ventas. 
¿Que le resuelves? Resolución de mensajes de clientes y disminución operativa de gente de ops de ventas.
¿Porque ustedes son el equipo ideal?
¿Te dan los UE con los usos fijos y variables? es profitable cada conversación que tenemos
Cuanto te demorarás en llegar a mil clientes? 2 años para llegar a ese número.",,"es un mercado no nuevo, muchas empresas atacan el mismo cliente deben tener un gran equipo.
advisors sin contrato legal. se juntan con ellos 1 vez por mes.

Deben saber crear su defensibilidad. Deben trabajarlo. Seguir entendiendo bien a usuarios, orientados al cliente, no desarrollar por desarrollar.

Venderse como Mobile E-Commerce. Preocupación de Jose: Diferenciación y ser defensible

Pregunta de David:
¿¿Vale la pena explorar un modelo anual o semestral?? ","- Validar con 1-2 clientes para ver el servicio, lo aman?
- Probar la solución, ver el UX/UI.
- Que alguien valide la tecnología: profe de IA el de MIT o Syntax. Tech Meeting
- Mapear la competencia, ver si lo de ellos es superlativamente mejor",Unit economics| Espacio de aprendizaje,129500,2000000.0,,,,,,,,,
Simplicar,"cap table: igna y rodrigo: 30% c/u y sebas y manuel: 20% c/u

revenue mensual?
Perdida??
Objetivo:
Clientes??","¿Qué servicios tienen? Depende de proveedores, pero en general, servicios vehiculares.
¿Cómo aseguras que la experiencia end-to-end del servicio sea bastante buena?
¿Cuál es tu estrategia de onboard de proveedores (esto sería clave si tienen puntajes de servicios, etc)? Es a dedo, conocen a la persona, visitan los talleres, antecedentes, etc. Hacer insurance dentro del marketplace. 
¿Cómo evitan que su onboard se vuelva un cuello de botella? 
¿Por que son el equipo correcto para crear este negocio? Rodrigo: clientes, respuesta a talleres, adquisición, venta, finanzas, admin y contabilidad. Igna: Growth y Funnel. Manuel: Tech Platform. Sebas: UX y Producto
Siguiente mercado?? Perú es interesante por que es fraccionado: Mexico es parecido a Perú, mucha similitud, es más fraccionado

Cliente objetivo: 25-32 años, sin hijos, trabaja, mujer, a partir de 3 años de antiguedad.
¿Que probaron estás ultimas semanas? Foco de exerimento de dashboard a talleres. Ver si hay valor, si los baypassean. Podemos solucionarles problemas a los talleres?",,"marketplace de servicios vehiculares
comisión por cada transacción

Como previenen que suceda dos casos? Consecionaria overprice o servicio de taller común que es tengo que regresar en unas semanas. 

Reto: Calidad de servicio de los servicios que brindan. Ser un marketplace o ser un proveedor que vende el servicio?

Mx: hay más leasing
Recomendacion: Darle vueltas a la experiencia el cliente. (clave) ¿Cómo la experiencia de cliente es muy buena? Insurance es una buena salida pero no se si les permitirá escalar. Experimentaria mucho con eso para que el onboarding sea el cuello de botella.

Puede ser insurtech y hacer plata con el seguro.","- validar clientes, hablar con 2-3 clientes. 
- jugar con la aplicación de simpliCAR (probar) / que nos creen un usuario de prueba",,40000,1000000.0,Pre-Money Safes,,,Equipo complementario,,"# de clientes:  36 clientes nuevos en el DD 
Clientes feedback:  Los negocios creen que es util para incrementar sus ingresos, pero aun no son significativos en comparacion al total. Del lado del usuario resuelve el tiempo para buscar un servicio mecanico recurrente
Recompra :  2-3 veces por año
Diferenciacion:  Hay potencial para trabajar en una plataforma con más tecnología y crear más ingresos a los negocios
Con quien compite? Para adquirir clientes con empresas de servicios de autos digitalizadas.
Defensibilidad? Es replicable, deben trabajar más en la retención y adquisición de clientes",,,
ELSA,"MRR: $37K
ticket por empresa: 5500 - 5600$
Clientes con aula virtual: 8 clientes
Clientes sin aula virtual: 5 clientes
Churn (no tenemos)

objetivo: 148 clientes a final de año - 700k aprox en ventas - PE 90% y fuera 10% 
Cap table: 55% Mar 45% Ivonne 10% ESOP (Recibimos 100k en deuda de impacto -esto es revenue sharing- y 150k SAFES CAP + Discount 15%)

Burn rate: 5k-10k$
Runway: 6 meses","¿Como es el product? Plataforma integral para la prevención del acoso labora. Tiene 3 lineas: diagnosticos, aula virtual para recursos de implementacion de planes en base a mediciones (8 empresas aqui, upselling), canal de denuncias (elsa en diagnostico te da data y con denuncias podemos llegar a casos con nombres y apellido)
¿Qué barreras tienen fuera de peru? Necesitamos capital para aguantar primeros meses de ingreso en mercado siguiendo el playbook de expansión (aliados-network). Costo comercial. 
¿Cuéntame del equipo? Se fueron 3 personas del equipo (comu-business-operaciones), no se adaptaron del cambio de consultora a startup. Hemos contratado a una CRO (Marta Ortega). CFO hemos tenido as a service. Las dos founders están a tiempo completo.
¿Qué tan grande va a ser ELSA?
¿Quieren tener un exit? Si
¿Cuando puede ser el exit en 5 años? 27millones en 4-5 años
¿Cuéntenme del stack de ELSA? Python y react en front y mongodb en base de datos. BI usamos metabase, internamente sacamos app puras en nextjs. Principalmente es python. 
¿Quién es tu equipo tech? 4 tech, todos UTEC (2 puros tech, 1 producto+tech. e ivonne)
¿Como te fue levantando plata? No era atractivo en 2023 porque no era fintech o edtech, remamos contra todo. Este año volvemos a habalr con investors y fondos VC no solo de impacto. ",,"B2B suscripcion anual. (precio varía dependiendo del tamaño de empresa y por funcionalidades de la plataforma
Recompra: viendo eso -recién comenzando esta etapa-
No hay competencia ahora. Podría aparecer en la parte de cursos. 
Tienen clientes en Republica Dominicana

Algunas peruanas como sodexo nos han abierto en otros paises porque tienen subsidiarias.  
Cliente: Empresas con areas de HR con foco o iniciativas de diversidad. Mercado: 5mil millones de dolares solo en LatAm en sector privado. Es repiclable en europa y us

Las veo bien, mas enfocadas, más encamindas al modelo startup. No van a velocidad startup, pero veo que pueden llegar. Necesitan capital. 

Exit de 27 millones es chico, para un VC es enano. ¿Cómo logras hacer un exit de 200 millones? ¿Qué implica eso? Crecer en que? Geograficamente, en productos (entrar en fintech? insurtech? como podemos triplicar el valor de la compañía? ",Pasarnos la info del modelo de proyección para su exit: https://drive.google.com/drive/folders/1UUlJuzmjG9qiOIz4ZQVCORtMmAwu_k6e?usp=drive_link,,(Preguntar cuanto a que valuation),,,,,"Potencial  equipo tech: Inhouse
CTO? Si
Cap Table balanceado: 50% cada una
Time commitment: Ambas full time
Complementariedad: Legal + Tech
Traccion en KPIs:  150 Organizaciones, 110,000 usuarios. 9 Organizaciones nuevas durante el DD (marzo 5, abril 4)
Open to advise: Agendaron Office hours
Participación / Give first? Activa más de Marlene",Muy Bueno,,,,
Doctoc,"clientes: 48 clientes como consultorios (pagantes) 9 son mensuales y 41 anuales
churn: regularmente planes mensuales
 
perfil etario: 35-50 años (35 para abajo no es independiente)

captable: 38% 27% 18% 12%","¿Quién es tu cliente? doctores que tienen consultorios 
¿Que funcionalidades tienen? Agenda (calendario para agendar) + recordatorios (por wsp) + historia clínica + finanzas (modulo contable). Generamos documentos de recetas al paciente.
¿Cuál es el nivel de interacción? 500 pacientes a mas por doctores (interacción de Lunes a Sabado)
¿Por que creen que los clientes compran la plataforma? Medicos comerciales (driver: manejar mejor su negocio - citas y pagos- y los más academicos (driver: registro y busqueda de info de su pacientes)
¿Con quién compiten a nivel internacional? Diferencia, facilidad de uso y adopción
¿Por qué son el equipo correcto para crear doctoc?
¿Stack tech de la solución?  next js y react en la web / base de datos: (no relacional) Google Cloud -mondoDB/MayaDB- / mensajeria por wsp
Mercado: 10k medicos privados (35 soles - 139 soles x mes - promedio anual: 1704 soles )",,"Planes de suscripcion mensual/anual
idea: transaccional por pago de cita

Debe haber para cada perfil de clientes un numero de interaccion definido.
perdidas por ausentismo: 80k-100k por año

Deben seguir hablando con el cliente para entender que lo va a enamorar de por vida. Que otras cosas pueden hacer que el médico no puede vivir sin la solución

En parte del proceso, cuando el medico decide volverse independiente, crear algo para ese momento y engancharlos, ser fintech, logistica de medicamentos. (pensar por donde ser enormes)",- prueben bien el producto de doctoc a ver si el UX es realmento bueno como dicen,,no han levantado,,,,,,,,,,
Phronesys," 
Ganaron un fondo de proinnovate de climatech, y otro concurso de climatech  
U mal accuracy(del 30%-35%) gastas 1000 a 1500 por hectárea","¿Qué resuelve? Resuelve la precisión de la estimación del agro. El agro gasta mucho estimando más de lo que realmente genera en producción.
¿Por qué es importante? La variable de estimación es muy relevante en el agro
¿Qué tan efectivo es? Su error de pronóstico bajó de 30% al 5% - 10%
¿Qué es el producto? Realizan proyecciones y simulación a través de muestreos
¿Cómo funcionaba antes?2 - 3 Personas en campo supervisan y registran datos, los cuales sirven para estimar y simular.
¿Cómo planean que funcione? Quiere hacer un saas(quieren contratar equipo tech externo) para, a través de algoritmos, que con un aplicativo en campo, automatice el proceso de cómo funcionaba 
¿Por qué es mejor al resto? Es que otros modelos no tienen sentido del negocio, lo trabajan como números en vez de seres vivos. La mayoria de empresas se enfocan en tomar la información, en vez de estimar que es lo realmente relevante Ventaja competitiva: Phronesys Modela fenómenos biológicos que son muy técnicos",,"Ahora quieren pasar a un modelo donde puedan pagar con fees por exito, dependiendo a la cercania de accuracy. Quiere migrar a ese modelo","Especializacion lo recomienda Jose, empezar con un tipo de fruta
y que exploren internacionalizarse con experimentos, pilotos cortos para validar",,no han levantado,,,"No tiene soporte tech del nuevo modelo
Carece de especialización de fruta para experimentar pilotos e internacionalizarse
Tiene potencial
",Dificultad regular,"No tienen equipo tech ni CTO para desarrollar el modelo que plantean, no dieron updates de su búsqueda para ejecutar.
Christian Garcia: Demand & Supply Planner, Desarrollo herramienta analítica
Manzur Fegale: Aporta contactos, Background dirigiendo compañías tradicionales",Regular,,,,
Hashi,"Estan levantando 750k a valuation 5 M

Empresa startup: LTV 6K$ anuales
Mediana startup: LTV  20k$
enterprises: LTV 60K$

margen content: 72%
margen tech integration: 94%
70% de recompra","¿Quiero entender bien el producto, que le das al usuario? El curso lo diseña un content spec de Hashi, ellos ayudan a guionarlos y graban el contenido y crean whitelabels y los integran creando un academy en empresas. 
¿Cómo es el proceso de creación de contenido? Call de discovery (entender que quieren crear), se entrega un documento plantilla con la info especifico para lograr su objetivo de convertir, 
¿Cómo son escalables? Ahora es teniendo margenes altos así compaginan el gasto de creadores de contenido.

¿Cuánto más contenido educativo la empresa puede pedirte? Buscamos use cases que necesiten contenido todo el tiempo. 70% de clientes nos ha vuelto comprar.
¿Cuál es tus metricas mas importantes de Hashi y que meta tienes este mes? Empezar a maximizar los calls organicos para integrar Hashi, 3 cierres de cliente (Uala y 2 más)
¿Metrica del negocio? Tiempo de consumo de los contenidos / otras metricas MAUs y DAUs de ciertos clientes. / Para empresas: cuantos clientes son adquiridos por Hashi",,"Campaña de posicionamiento de marca asociada a educación para potenciar el entendimiento de productos de empresas. 

Modelo: fee mensual. (independientemente nivel de uso) + fee unico por contenido
25 días nos demoramos en crear el contenido. Menos de 15 días nos toma la integracion del aspecto tecnico a las empresas.

+12 PAÍSES
Estan constituyendose en Perú
Compites con los gastos de marketing, con influencers, etc. ",- Super importante que prueben todas las plataformas para ver que tan buenos son los productos,,(Preguntar cuanto a que valuation),,,,,,,,,,
Konstruedu,"Platanus Ventures invirtió USD 100K. Están pensando levantar a setiembre USD 1MM para seguir creando más cursos y aristas. Impulsar B2B con foco en México.

Estudiantes universitarios
Profesionales
64 cursos. Un curso les cuesta crear 800USD
El año pasado cerraron con USD130 K, buscan triplicar sus ingresos
Un alumno termina 8 cursos al año le genera en promedio 163 dólares y les cuesta  adquirirlo 93 dólares","¿Quiero entender bien el producto, que le das al usuario? Quieren enseñar transformación digital para la construcción. Tipo de conocimientos como IA. 64 CURSOS. El curso más vendido modelado BIN.
¿La persona qué paga? Suscripción (trimestral - semestral y anual) el 80% adquiere el plan anual. Al año en promedio llevan 8 cursos al año. El estudiante lo lleva porque quiere ser competitivo en el ambito laboral. Dos perfiles 
¿Por que crearon la startup?  Porque quería buscar rentabilidad mediante metodologías nuevas para convertir en startup su negocio inicial.
¿Cómo es el stack? Python, PHP, MySQL, AmazonWS
¿Qué tamaño van a ser en 5 años? Quieren formar a 1 millón de profesionales. No hay cálculos. Quieren ser el #! para capacitar
¿Por qué te eligen? Hay una oportunidad en la transición del desarrollo tecnológico que da la necesidad de capacitarse, Su metodología de educación, tienen tutoría constante. Enseña cosas nuevas y les hace el seguimiento.
¿Quiénes diseñan el curso? Inhouse, ellos lideran y con ingenieros civiles, docentes. Se encargan de todo el proceso. ¿Quiénes están en el captable? Dhevis, Angel y Platanus Ventures.                                                                                                                                        Cerraron el año año pasado 130 K. Actualmente van vendiendo USD35K. Crecimiento 2X. Comparado a noviembre 1.75.   Objetivo del mes: ser una máquina de producción de cursos. Lanzar 10 nuevos cursos al mes en vez de 2-4.     Conversan con sus clientes para evaluar la necesidad. ¿Cuántos cursos se completaron por los estudiantes? ¿Delos 64 cursos, cuántos tuvieron estudiantes? Todos tienen estudiantes.  ¿Por qué crees que no le fue bien a Arcux? Arquitectura es un mercado muy chiquito, Hay menos arquitectos que ingenieros.  Los cursos eran tradicionales. ¿Cuánto te genera de ingreso un estudiante? 163 dólares. Le cuesta traer un estudiante : 93 dólares.                                                               ",,"  A Jose le preocupa el tamaño de mercado. Su mercado no es gigante. Puede que sea 1/5 del tamaño del mercado como Platzi. Denle una pensada a ese reto. Cómo hacemos que Konstruedo sea un negocio de 200 Millones de dólares. Cree que el equipo es bueno y producto interesante. El BIN es bueno, pero no está seguro que sea un negocio de 200MM   de dólares.",- Super importante que prueben todas las plataformas para ver que tan buenos son los productos,,(Preguntar cuanto a que valuation),,,,,"Potencial  equipo tech: in house (1 backend y 1 frontend)
CTO? Angel Jara 
Cap Table balanceado:  Dheivis Jara (39%), Angel Jara (39%) Platanus Ventures (10%)
Time commitment: Full time
Complementariedad: Industria + Tech
Traccion en KPIs:  Revenue $14,786 durante, 127 clientes nuevos en el DD 
Open to advise: Preguntar a Kev office hours
Participación / Give first? Activo Dheivis",Regular,"Hace lo que dicen: Sí, solo que no es un producto diferencial
# de clientes:  127 clientes nuevos en el DD 
UX: Normal, simple
Clientes feedback:  Se ven puntuaciones de alumnos entre 3 a 5 estrellas
Recompra :  Suscripción (trimestral - semestral y anual) el 80% adquiere el plan anual. Al año en promedio llevan 8 cursos al año.
Diferenciacion:  No es visible frente otras plataformas de educación
Con quien compite? Cursos de universidades especializadas en construcción, plataformas de educación Online
Mejora significativa de lo que existe: No se observa una mejora extraordinaria
Defensibilidad? Es replicable, no se ve un diferencial si comparamos con plataformas como Coderhouse",Bajo,,
Viajamas,"GMV $2.5M (90% B2B 10% B2C)
23% TAKE RATE

35 turoperadores conectados y waitlist 20 aprox
circuitos x operador: 200 circuitos (el mayor operador)","¿Que es el producto especificamente? ¿Como funciona en B2B este negocio? Software de planificacion, uníamos productos y se lo dabamos a un cliente final.  Proveedor carga sus productos a un SMS, suben todo y se agrega anuestro marketplace. Quitamos al mayorista ya que no añade valor.  
¿Cuánto % del mercado es para circuitos del turismo? 30% del mercado total, viene creciendo hacia grandes viajes.
¿Quién define la tarifa? el turoperador define la tarifa. 
Competencia: directa - tourradar | a traves de mayoristas tradicionales es como lo resuelven
¿Cómo lograste comerte al mayorista? lo vendiamos como canal ingreso adicional al tradicional. 
Solo estamos en Perú
¿Las empresas grandes de Perú, Limatours, condortravel que hacen? Ofrecen circuitos de otros continentes para Perú.
¿Producto tech stack? web + servidor + CMS (Backedn microservicios con Amazon, CMS es nextjss + web nextjss + react)",,"industria interesante (nicho interesante)

reto:
1. cuando digan marketplace los inversionistas dejarán de escuchar. (denle una vuelta y no enfaticen en marketplace o porque no es un tipico marketplace)
2. muy concentrados en Perú, como escalar fuera de Perú. Como pueden vender esa perspectiva de transformar la industria sin mayoristas. 

Son mas un mayorista digital. ",Super importante que prueben todas las plataformas para ver que tan buenos son los productos,,levanata 400k (30% cerrado),5000000.0,,,,,,,,,
Sin Envolturas,"2023: $400k (PIE DE EVENTOS: Matrimonios + Baby Showers)

7% por evento. 
Están en breakeven (desde 2022)

Cap Table: 4 fundadoras
Claudia mayor participación
","¿Que porcentajes terminan siendo regalos y cash? En 2023, procesamos 4,5 M de dolares.
¿Envisionan un exit? Zola es un buen potencial de exit u cadenas de retail grande. 
Ninguna hace código, tenemos a Caro que ve producto y equipo de desarrollo. Sacaremos en un par de meses la nueva versión de la plataforma con una arquitectura pensando en escalabilidad.  Trabajan con una fábrica JANAC de tech. 
¿Programa de Endeavor, cual fue el principal aprendizaje? Nada
¿Han pitcheado frente a un VC? Si hemos pitcheado, frente a AVP (Greg).
¿Cómo consiguen a sus clientes? Es un negocio de bien referidos, invertimos en influencers y mkt digital (les damos una comisión por recomendaciones). Un anfitirion nos puede dar 400 leads potenciales clientes. 
Recompra tienen? 80% ha utilizado sin envolturas de matris a baby showers. En total, de los matris se convierten a baby shower la mayoría. De invitados, se convierten x% (descubrir cuanto?)
Promedio de recoleccion: 10k dolares y se quedan con un 7% (140-200 dolares por cliente)
¿Como hacemos x5 el revenue en 5 años? 
Competencia: Peru - novios a bordo - Mexico - Palacio de Hierro y Liverpool-

Novios a bordo / The Gift List (dead) / D' Parte
Zola",,"Startup Peru con Endeavor - 50k

Volvernos el 360° centralizando todo lo más importante del proceso de celebraciones. 

Contratar un full stack en el equipo. 
MInimizar costo de pasarela de pago. (Payu es malazo)

10 personas en el equipo (4 founders)
Margen EBITDA 30% en 2022 y 2023 es 20%
Tienen que llegar a 250 millones de dolares valor empresa. 

Necesitan 100k eventos al año con un precio 2,000 dólares por evento.
Ahora tienen: 6,500 solo en Perú

Constituidas en MX y harán una prueba piloto allá. Parte del valor de la empresa es escalar, deben abrir mexico. ",Super importante que prueben todas las plataformas para ver que tan buenos son los productos,,no han levantado,,,"Buen posicionamiento de la marca. Tienen potencial
Dificultad en escalamiento por cómo se desarrolla un matrimonio (una sola vez en al vida)
Necesitan tech inhouse para dar ese paso. 
",Dificultad regular,"Capacidad de ejecución. 6 años trabajando en Sin envolturas
Claudia Dawson (30%): Operaciones. Emprendimiento tradicional Wonderlust Lencería
Karen Dawson (15%): Marketing, Innovación Schraff
Carolina Arbulú (27%): Finanzas, Desarrollo de productos 
Paloma Derteano(27%): Comunidad, Marca
No tienen tech inhouse
",Regular,"80% ha utilizado sin envolturas de matris a baby showers. En total, de los matris se convierten a baby shower la mayoría. 

Comentarios clientes (3 entrevistas )
“Casi todos los matrimonios que asisto lo hicieron a través de Sin Envolturas.”
“Es super facil. me encanta que puedo personalizarlo”
“Fijo lo usaré para mi baby shower y otros cumpleaños o eventos grandes!”
Más o menos  la mitad de los invitados usaron la plataforma para dar sus obsequios. Algunos les piden directamente la cuenta para evitar el fee.
Mejor que la competencia ""Novios a Bordo"" y ""D´parte""",Producto muy bueno,"Ellas mencionaron a Zola como buen potencial de exit u cadenas de retail grande. 
Yo creo que podría ser banca; porque los productos financieros como créditos hipotecarios, seguros de vida, ahorros para universidades de los hijos, etc. se ven en bancos como BBVA, BCP, Interbank. Creo que podría ser un enlace interesante, si se expanden más a baby shower o eventos importantes en la vida de los hijos. Para hacer una secuencia al matrimonio(que es solo una vez)
",Posible
